"No.","URL","タイトル","取得日","新分類"
1,"https://note.com/konho/n/n9c7301a7e5a6","全人類に告ぐ！AntigravityでChrome拡張を作れ！｜けいすけ","2025-12-29","プログラミング"
2,"https://zenn.dev/and_dot/articles/aa9d8e6d45a9a4","AIがゼロからゲーム開発！ AntiGravity を活用した「バイブコーディング」のリアル","2025-12-29","プログラミング"
3,"https://news.yahoo.co.jp/articles/a4b935b60adb5c12b8396d53df17257ffa807ae2","コンサルの提案に「現場を見てモノを言え」と部長が激怒→しかし、たった一言で沈黙した理由（東洋経済オンライン） - Yahoo!ニュース","2025-12-29","社会課題"
4,"https://zenn.dev/mizutani/books/sec-agent-book/viewer/04-architecture","システムアーキテクチャと設計方針｜Goで作るセキュリティ分析LLMエージェント","2025-12-29","ITシステム"
5,"https://president.jp/articles/-/106853","｢Gmailにメールが届かなくなる｣だけの問題ではない…グーグルが""他社メールの受信廃止""を急ぐ本当の理由","2025-12-29","社会課題"
6,"https://zenn.dev/lnest_knowledge/articles/91a1893b3f92f3","マークダウン文書を改ページなしのPDFに変換する","2025-12-27","プログラミング"
7,"https://zenn.dev/mizutani/books/sec-agent-book/viewer/03-challenges","セキュリティアラートの分析業務における課題とLLMによる改善の可能性","2025-12-27","社会課題"
8,"https://toyokeizai.net/articles/-/925179?display=b","会議が大炎上…｢説明しても理解できます？｣説明責任を放棄した《技術責任者》の根本的な勘違い","2025-12-26","社会課題"
9,"https://zenn.dev/aws_japan/articles/2025-11-17-react-strands-agents","ReAct 論文と共に読み解く strands-agents/sdk-python の実装","2025-11-17","機械学習"
10,"https://dev.classmethod.jp/articles/claude-code-fast-code/","Claude Codeで実装がどこまで出来るか試してみる | DevelopersIO","2025-11-17","プログラミング"
11,"https://note.com/masa_wunder/n/n359bc4f58314","【使いきれない無料枠】Gemini Code Assistを使ってきたので使い方と特徴を解説します｜まさお@未経験からプロまでAI活用","2025-11-13","プログラミング"
12,"https://diamond.jp/articles/-/375248","40歳以上で「鳴り物入りで転職してくる人」が無能である理由とは？","2025-11-13","社会課題"
